ID,Screen Name
252819642,RepKevinYoder
252819323,RepTomReed
252249233,RepPeterDeFazio
249410485,SanfordBishop
249348006,RepAnnaEshoo
249288197,SamsPressShop
248735463,RepBarbaraLee
248699486,RepJeffDenham
248495200,sethmoulton
246769138,RepEdRoyce
246341769,Raul_Labrador
245451804,RepJimCosta
242926427,HerreraBeutler
242892689,nikiinthehouse
242873057,RepTipton
242772524,RepFrankLucas
242426145,RepMcGovern
242376736,RepCharlieDent
241207373,RepLoBiondo
240812994,RepYvetteClarke
240760644,RepGosar
240427862,RepMcKinley
240393970,RepJeffDuncan
240363117,RepTomMarino
239949176,RepKarenBass
239871673,RepLouBarletta
237862972,RepWalberg
237814920,RepHultgren
237763317,RepHartzler
237750442,RepSteveChabot
237348797,TGowdySC
237312687,RepBillFlores
237299871,RepMoBrooks
236916916,RepJimRenacci
236279233,NormaJTorres
235373000,RepHanabusa
235312723,DesJarlaisTN04
235271965,RepStevePearce
235251868,RepKristiNoem
235190657,RepChuck
234822928,RepBobGibbs
234812598,RepLarryBucshon
234797704,AustinScottGA08
234469322,rep_stevewomack
234057152,RepMGriffith
234022257,RepSeanDuffy
234014087,RepWilson
233949261,RepHuizenga
233842454,justinamash
233693291,RepRickCrawford
232992031,USRepKeating
231510077,JoaquinCastrotx
229197216,RepDavid
224294785,RepMarthaRoby
221792092,NitaLowey
219429281,RepKinzinger
211530910,RepBillJohnson
211420609,RepSteveStivers
210926192,RepCuellar
199325935,RepAndreCarson
193872188,RepVisclosky
193732179,RepJudyChu
190328374,RepTomGraves
188019606,Clyburn
168673083,repdavidscott
168502762,RepEBJ
164369297,NydiaVelazquez
164007407,RepEliotEngel
163570705,repcleaver
162069635,RepCohen
161791703,BobbyScott
161743731,RepKayGranger
161411080,gracenapolitano
156333623,RepAlGreen
155669457,RepDavidEPrice
153944899,RepLloydDoggett
153486399,RepMarciaFudge
148453195,RepBrady
140519774,rosadelauro
137794015,RepTedDeutch
126171100,RepSheaPorter
124224165,RepFredUpton
122174004,repdinatitus
112740986,RepRonKind
111635980,repjoecrowley
111635527,RepGeneGreen
110545675,RepDianeBlack
90639372,RepDwightEvans
88806753,RepGaramendi
85396297,RepJoeCourtney
84119348,RepPaulTonko
82453460,BennieGThompson
80612021,JacksonLeeTX18
78445977,GerryConnolly
76452765,Robert_Aderholt
76132891,CongMikeSimpson
74508260,BillPascrell
74198348,JudgeTedPoe
58928690,RepAdamSmith
56864092,RepMikeQuigley
54412900,DevinNunes
52503751,DrPhilRoe
51228911,RepMikeTurner
50452197,RepJohnLarson
50152441,RepMcClintock
48117116,SteveKingIA
47798449,RepMimiWalters
41417564,RepSmucker
40302336,RepJerryNadler
39249305,USRepMikeDoyle
38254095,DorisMatsui
37920978,RepGoodlatte
37094727,MarioDB
37007274,repdonyoung
36948268,RepGutierrez
36686040,RepMaxineWaters
33977070,RepMikeRogersAL
33655490,RepDennisRoss
33576489,RepBrianHiggins
33563161,RepJoseSerrano
32010840,repgregwalden
31801993,FrankPallone
31611298,jahimes
30216513,BradSherman
29766367,RepSamGraves
29501253,RepAdamSchiff
29450962,repjohnlewis
28602948,RepRaulGrijalva
28599820,RepDianaDeGette
27676828,PatrickMcHenry
26778110,RepWalterJones
26424123,RepMcCaul
26051676,RepGusBilirakis
25781141,repsandylevin
25086658,congbillposey
24913074,RepSpeier
24745957,RepHankJohnson
24735461,PeteSessions
24195214,janschakowsky
24183358,CongCulberson
23976316,RepKenMarchant
23970171,TomRooney
23712174,GreggHarper
23124635,TomColeOK04
22812754,RepGregoryMeeks
22669526,RepGwenMoore
